0	211
10	6
12	17
13	45
14	2
15	5
16	18
18	23
19	8
28	12
30	2
9	4
AM General	6
ASC Incorporated	1
Acura	291
Alfa Romeo	45
American Motors Corporation	27
Aston Martin	138
Audi	868
Aurora Cars Ltd	1
Autokraft Limited	4
Avanti Motor Corporation	2
Azure Dynamics	2
BMW	1628
BMW Alpina	3
BYD	4
Bentley	108
Bertone	7
Bill Dovell Motor Car Company	4
Bitter Gmbh and Co. Kg	5
Bugatti	8
Buick	589
CCC Engineering	2
CODA Automotive	2
CX Automotive	17
Cadillac	498
Chevrolet	3665
Chrysler	699
Consulier Industries Inc	3
Dabryan Coach Builders Inc	9
Dacia	3
Daewoo	67
Daihatsu	17
Dodge	2502
E. P. Dutton, Inc.	1
Eagle	161
Environmental Rsch and Devp Corp	1
Evans Automobiles	3
Excalibur Autos	1
Federal Coach	14
Ferrari	164
Fiat	38
Fisker	1
Ford	3031
GMC	2311
General Motors	1
Genesis	2
Geo	147
Goldacre	1
Grumman Allied Industries	1
Grumman Olson	4
Honda	869
Hummer	19
Hyundai	646
Import Foreign Auto Sales Inc	1
Import Trade Services	13
Infiniti	328
Isis Imports Ltd	1
Isuzu	434
J.K. Motors	36
JBA Motorcars, Inc.	1
Jaguar	321
Jeep	820
Kenyon Corporation Of America	4
Kia	479
Laforza Automobile Inc	2
Lambda Control Systems	1
Lamborghini	101
Land Rover	132
Lexus	386
Lincoln	270
London Coach Co Inc	1
London Taxi	1
Lotus	55
MINI	304
Mahindra	1
Maserati	107
Maybach	31
Mazda	927
McLaren Automotive	11
Mcevoy Motors	6
Mercedes-Benz	1218
Mercury	609
Merkur	14
Mitsubishi	1020
Mobility Ventures LLC	2
Morgan	3
Nissan	1324
Oldsmobile	462
PAS Inc - GMC	2
PAS, Inc	2
Pagani	2
Panos	1
Panoz Auto-Development	1
Panther Car Company Limited	4
Peugeot	98
Pininfarina	6
Plymouth	526
Pontiac	893
Porsche	853
Quantum Technologies	2
Qvale	1
Ram	50
Red Shift Ltd.	2
Renault	56
Rolls-Royce	165
Roush Performance	53
Ruf Automobile Gmbh	3
S and S Coach Company  E.p. Dutton	1
SRT	2
Saab	422
Saleen	5
Saleen Performance	5
Saturn	278
Scion	84
Shelby	1
Spyker	13
Sterling	12
Subaru	822
Superior Coaches Div E.p. Dutton	1
Suzuki	515
TVR Engineering Ltd	4
Tecstar, LP	6
Tesla	28
Texas Coach Company	4
Toyota	1877
VPG	5
Vector	4
Vixen Motor Company	1
Volga Associated Automobile	1
Volkswagen	1094
Volvo	736
Wallace Environmental	32
Yugo	8
make	1
smart	28
